#ITEM,COMMAND,RESPONSE PASS,RESPONSE FAIL,LOWER(V),UPPER(V),ID,LCD PRINT,IO RLY CHANNEL,PARAM
MAC Bar code scan,,0,,,,BAR_SCA,,1,12,
,,,,,,RLY_CTL,,42,
,,,,,,RLY_CTL,,43,
,,,,,,RLY_CTL,,44,
DUT Power On,,,,,,PWR_ON,,73,
12V Voltage Test,,,,11.4,12.6,VOLG_T,,2,
5V  Voltage Test,,,,0,20,VOLG_T,,4,
3V3 Voltage Test,,,,0,20,VOLG_T,,6,
1V4 Voltage Test,,,,0,20,VOLG_T,,7,
1V35 Voltage Test,,,,0,20,VOLG_T,,8,
SNVS Voltage Test,,,,0,20,VOLG_T,,9,
Wiselink Voltage Test,,,,0,20,VOLG_T,,10,
LED1 Test,,,,0,20,VOLG_T,,10,

#Check assembly,FCT+ASSEM?,ASSEM:,,,,,,,
#Test golden finger,FCT+GPIOAIO=55555555,OK,ERROR,,,GRIPIO,,,
#Test golden finger,FCT+GPIOAIO=AAAAAAAA,OK,ERROR,,,GRIPIO,,,
CR36 on, FCT+LED-RUN=1,OK,ERROR,1,1.5,LED_T,,13,
CR36 off,FCT+LED-RUN=0,OK,ERROR,2,3.3,LED_T,,13,
CR7 on,  FCT+LED-LTE=1,OK,ERROR,1,1.5,LED_T,,14,
CR7 off, FCT+LED-LTE=0,OK,ERROR,2,3.3,LED_T,,14,
CR21 on, FCT+LED-AUX=1,OK,ERROR,1,1.5,LED_T,,15,
CR21 off,FCT+LED-AUX=0,OK,ERROR,2,3.3,LED_T,,15,
CR2 on,  FCT+LED-IB2=1,OK,ERROR,1,1.5,LED_T,,16,
CR2 off, FCT+LED-IB2=0,OK,ERROR,2,3.3,LED_T,,16,
CR66 Red on,  FCT+LED-RED=1,OK,ERROR,1,1.5,LED_T,,17,
CR65 Red on,  FCT+LED-RED=1,OK,ERROR,1,1.5,LED_T,,20,
CR64 Red on,  FCT+LED-RED=1,OK,ERROR,1,1.5,LED_T,,23,
CR59 Red on,  FCT+LED-RED=1,OK,ERROR,1,1.5,LED_T,,26,
CR60 Red on,  FCT+LED-RED=1,OK,ERROR,1,1.5,LED_T,,29,
CR61 Red on,  FCT+LED-RED=1,OK,ERROR,1,1.5,LED_T,,32,
CR66 Red off, FCT+LED-RED=0,OK,ERROR,2,3.3,LED_T,,17,
CR65 Red off, FCT+LED-RED=0,OK,ERROR,2,3.3,LED_T,,20,
CR64 Red off, FCT+LED-RED=0,OK,ERROR,2,3.3,LED_T,,23,
CR59 Red off, FCT+LED-RED=0,OK,ERROR,2,3.3,LED_T,,26,
